xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,1.0412671566,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,a,-200,0,0,0,3,0,0,0,0,None,,,a,1,0.600588083267,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,a,-200,0,0,0,3,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
200,s,-200,0,1,1,2,0,0,0,0,None,,,s,1,0.366954088211,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
200,s,-200,0,1,1,2,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,2,2,5,0,0,0,0,None,,,s,0,0.467228889465,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,2,2,5,1,0,1,0,None,,,q,1,0.28388094902,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,2,2,5,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
200,w,200,0,3,3,0,0,0,0,0,None,,,w,1,0.367060899734,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
200,w,200,0,3,3,0,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,4,4,9,0,0,0,0,None,,,q,1,0.417643070221,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,4,4,9,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,5,5,1,0,0,0,0,None,,,w,0,0.434414148331,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,5,5,1,1,0,1,0,None,,,q,1,0.233819961548,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,q,200,0,5,5,1,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,a,-200,0,6,6,7,0,0,0,0,None,,,a,1,0.483832120895,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
-200,a,-200,0,6,6,7,,,,,,,,,,,LearningTask,,,61.0470394914,3,2015_Apr_12_1456,53,
