xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,space,0.299001932144,,,,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,,,,,t,1,0.367475032806,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,0,0,0,1,1,0,1,0,,,,,,,,,,,,t,1,0.450879812241,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,,h,1,0.434485197067,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
200,y,200,0,2,2,0,0,0,0,0,,,,,,,,,,,,y,1,0.26745891571,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
200,y,200,0,2,2,0,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,g,-200,0,3,3,3,0,0,0,0,,,,,,,,,,,,y,0,0.234175205231,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,g,-200,0,3,3,3,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,0,0,0,0,None,,,t,1,0.284222126007,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,1,0,1,0,None,,,t,1,0.334305047989,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,2,0,2,0,None,,,t,1,0.417840003967,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,3,0,3,0,None,,,t,1,0.31761598587,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,4,0,4,0,None,,,t,1,0.317523002625,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,5,0,5,0,None,,,t,1,0.351064920425,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,6,0,6,0,None,,,t,1,0.334413051605,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,7,0,7,0,None,,,t,1,0.267477989197,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,8,0,8,0,None,,,y,0,0.350991010666,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
-200,t,200,,,,,,,,,0,0,0,1,9,0,9,0,None,,,y,0,0.450983047485,LearningTask,,,59.9491169795,3,2015_Mar_18_1601,555,
