xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,0.388187885284,,,,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,t,200,0,0,0,1,,,,,,,t,1,0.35088300705,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,0,1,1,0,,,,,,,y,1,0.367480039597,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,h,-200,0,2,2,2,,,,,,,y,0,0.534701108932,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,g,-200,0,3,3,3,,,,,,,g,1,0.467624902725,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,t,200,,,,,0,0,0,1,,,t,1,0.550957918167,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,g,-200,,,,,0,1,1,3,,,g,1,0.501346826553,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,h,-200,,,,,0,2,2,2,,,h,1,0.367745161057,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,,,,,0,3,3,0,,,y,1,0.467724084854,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,t,200,,,,,1,0,4,1,,,t,1,0.46778178215,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,g,-200,,,,,1,1,5,3,,,g,1,0.468007087708,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,,,,,1,2,6,0,,,y,1,0.567953109741,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,h,-200,,,,,1,3,7,2,,,h,1,0.501288890839,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,t,200,,,,,2,0,8,1,,,t,1,0.417706012726,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,g,-200,,,,,2,1,9,3,,,g,1,0.400966882706,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,,,,,2,2,10,0,,,y,1,0.434828042984,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,h,-200,,,,,2,3,11,2,,,h,1,0.401400089264,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,g,-200,,,,,3,0,12,3,,,g,1,0.450948953629,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,h,-200,,,,,3,1,13,2,,,h,1,0.401073932648,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
-200,t,200,,,,,3,2,14,1,,,t,1,0.384309053421,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,,,,,3,3,15,0,,,h,0,0.617959022522,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
200,y,200,,,,,4,0,16,0,,,y,1,0.350750923157,LearningTask,,,59.9413206428,3,2015_Mar_18_1219,562,
