xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,space,1.43392300606,,,,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,y,200,0,0,0,0,,,,,,,y,1,0.501068115234,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,g,-200,0,1,1,3,,,,,,,g,1,0.451153993607,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,t,200,0,2,2,1,,,,,,,t,1,0.532992124557,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,h,-200,0,3,3,2,,,,,,,h,1,0.41737985611,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,y,200,,,,,0,0,0,0,,,y,1,0.417636156082,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,h,-200,,,,,0,1,1,2,,,h,1,0.417531967163,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,t,200,,,,,0,2,2,1,,,t,1,0.434221029282,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,g,-200,,,,,0,3,3,3,,,g,1,0.367522001266,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,y,200,,,,,1,0,4,0,,,y,1,0.38433098793,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,h,-200,,,,,1,1,5,2,,,h,1,0.334342956543,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,t,200,,,,,1,2,6,1,,,t,1,0.351155996323,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
-200,g,-200,,,,,1,3,7,3,,,g,1,0.284359931946,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
200,h,-200,,,,,2,0,8,2,,,h,1,0.384299993515,LearningTask,,,59.9771491327,3,2015_Mar_18_1411,604,
