xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.02149701118,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,a,-200,0,0,0,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.484001874924,0.508761167526,0.00588917732239,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,a,-200,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,w,200,0,1,1,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.300880908966,0.516746997833,0.00173592567444,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,w,200,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,a,-200,0,2,2,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,a,1,0.400672197342,0.502334117889,0.00195693969727,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,a,-200,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,q,200,0,3,3,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,0,0.417829990387,0.502987146378,0.00187611579895,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,q,200,0,3,3,1,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.317286968231,0.515532970428,0.00180006027222,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,q,200,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,s,-200,0,4,4,6,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,s,1,0.383586883545,0.511944055557,0.00180292129517,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,s,-200,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,q,200,0,5,5,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,q,1,0.517202854156,0.503594875336,0.00107002258301,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
-200,q,200,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,w,200,0,6,6,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,None,0,,0.514429092407,0.0016610622406,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,w,200,0,6,6,4,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,w,1,0.333364963531,0.50119805336,0.000990867614746,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
200,w,200,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7121949831,3,2015_Apr_12_1908,60,
