xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,space,0.39689207077,,,,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,g,0,0.651313066483,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,y,0,0.784670114517,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,h,-200,0,1,1,2,1,0,1,0,,,,,,,y,0,0.617868900299,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,t,0,0.484503030777,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,g,-200,0,2,2,3,1,0,1,0,,,,,,,t,0,0.734447002411,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,g,-200,0,2,2,3,2,0,2,0,,,,,,,t,0,0.768177032471,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,g,-200,0,2,2,3,3,0,3,0,,,,,,,t,0,0.60102391243,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,h,0,0.534290075302,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,1,0,1,0,,,,,,,h,0,0.46732711792,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,2,0,2,0,,,,,,,y,1,0.484698057175,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,3,0,3,0,,,,,,,y,1,0.384194135666,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,4,0,4,0,,,,,,,y,1,0.434360980988,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,5,0,5,0,,,,,,,y,1,0.418477058411,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,6,0,6,0,,,,,,,y,1,0.450759887695,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,7,0,7,0,,,,,,,y,1,0.517690896988,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
200,y,200,0,3,3,0,,,,,,,,,,,,,,LearningTask,,,59.8067898744,3,2015_Mar_18_1433,610,
