xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,space,0.577234983444,,,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,g,-200,0,0,0,3,0,0,0,0,None,,,,,,,t,0,0.768306970596,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,g,-200,0,0,0,3,1,0,1,0,None,,,,,,,g,1,0.934931993484,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,g,-200,0,0,0,3,,,,,,,,,,,,,,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,y,200,0,1,1,0,0,0,0,0,None,,,,,,,None,0,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,y,200,0,1,1,0,1,0,1,0,None,,,,,,,y,1,0.701393842697,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,y,200,0,1,1,0,,,,,,,,,,,,,,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,h,-200,0,2,2,2,0,0,0,0,None,,,,,,,None,0,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,h,-200,0,2,2,2,1,0,1,0,None,,,,,,,h,1,0.36759018898,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
200,h,-200,0,2,2,2,,,,,,,,,,,,,,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,t,200,0,3,3,1,0,0,0,0,None,,,,,,,None,0,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,t,200,0,3,3,1,1,0,1,0,None,,,,,,,t,1,0.350833177567,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
-200,t,200,0,3,3,1,,,,,,,,,,,,,,,LearningTask,,,59.8809890926,3,2015_Mar_18_1442,613,
