xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,computedRewardOutput,EndingSSD,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,auctionResponse.keys,auctionResponse.rt,key_resp_6.keys,key_resp_6.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.086550951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,0,0,8,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.400302171707,0.506789922714,0.00407004356384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,0,1,1,3,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417345046997,0.507356882095,0.00176382064819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,2,2,4,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,0,0.434102058411,0.513154983521,0.00156807899475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,2,2,4,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.333884000778,0.515918016434,0.00144696235657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,3,3,9,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.383681058884,0.506789922714,0.00155901908875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,0,4,4,6,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.368173837662,0.513117074966,0.000974893569946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,5,5,0,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.300999879837,0.511781930923,0.00155305862427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,w,200,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,0,6,6,7,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.367491006851,0.500935077667,0.000951051712036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,7,7,5,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.450465202332,0.504409074783,0.000916004180908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,0,8,8,2,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,0,0.600609064102,0.50053691864,0.00156497955322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,0,8,8,2,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.216467142105,0.500443935394,0.00132894515991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
200,s,-200,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,9,9,1,0,0,0,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,,0.509817123413,0.00157713890076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,9,9,1,1,0,1,0,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.300399065018,0.516644001007,0.00112009048462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
-200,q,200,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,go,trianglegray.gif,z,1,0.6176841259,1,0.6176841259,1,0,0,0,0,0.00128293037415,0.510951042175,,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
,,,z,0,-200,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,stop,linemagenta.gif,z,1,0.518084049225,1,0.6176841259,1,1,0,0,0,0.00171089172363,0.51432800293,0.764408111572,,,,,,,,,,,,,LearningTask,,,59.8154042738,3,2015_Apr_12_1910,61,
