xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,ReDoLoop.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,space,0.259192943573,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,y,200,0,0,0,0,0,0,0,0,None,,,y,1,0.284158945084,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,y,200,0,0,0,0,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,y,200,0,1,1,0,0,0,0,0,None,,,y,1,0.484387159348,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,y,200,0,1,1,0,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,g,-200,0,2,2,3,0,0,0,0,None,,,None,0,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,g,-200,0,2,2,3,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,g,-200,0,3,3,3,0,0,0,0,None,,,g,1,0.951544046402,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,g,-200,0,3,3,3,1,0,1,0,None,,,g,1,0.584458112717,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,g,-200,0,3,3,3,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,t,200,1,0,4,1,0,0,0,0,None,,,t,1,0.467909097672,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,t,200,1,0,4,1,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,h,-200,1,1,5,2,0,0,0,0,None,,,h,1,0.35042309761,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
200,h,-200,1,1,5,2,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,t,200,1,2,6,1,0,0,0,0,None,,,t,1,0.417642116547,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
-200,t,200,1,2,6,1,,,,,,,,,,,LearningTask,,,59.9398644091,3,2015_Mar_18_1514,634,
