xPos,corrAns,yPos,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ReDoLoop.thisRepN,ReDoLoop.thisTrialN,ReDoLoop.thisN,ReDoLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.240744829178,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,t,200,0,0,0,1,0,0,0,0,,,,,,,,,,,t,1,0.718142986298,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,t,200,0,0,0,1,,,,,,,,,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,h,-200,0,1,1,2,0,0,0,0,,,,,,,,,,,h,1,0.350605964661,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,h,-200,0,1,1,2,,,,,,,,,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,g,-200,0,2,2,3,0,0,0,0,,,,,,,,,,,g,1,0.451206922531,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,g,-200,0,2,2,3,,,,,,,,,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,y,200,0,3,3,0,0,0,0,0,,,,,,,,,,,g,0,0.617841005325,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,y,200,0,3,3,0,,,,,,,,,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,h,-200,,,,,,,,,0,0,0,2,0,0,0,0,,,y,0,0.751214981079,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,h,-200,,,,,,,,,0,0,0,2,1,0,1,0,,,h,1,0.667798995972,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,h,-200,,,,,,,,,0,0,0,2,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,y,200,,,,,,,,,0,1,1,0,0,0,0,0,,,y,1,0.434201002121,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
200,y,200,,,,,,,,,0,1,1,0,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,g,-200,,,,,,,,,0,2,2,3,0,0,0,0,,,g,1,0.400890827179,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,g,-200,,,,,,,,,0,2,2,3,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,t,200,,,,,,,,,0,3,3,1,0,0,0,0,,,h,0,0.534473896027,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
-200,t,200,,,,,,,,,0,3,3,1,,,,,,,,,,LearningTask,,,59.8895393666,3,2015_Mar_18_1527,654,
