Color,Shape,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
yellow,,0,0,0,0,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
magenta,,0,1,1,3,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
blue,,0,2,2,7,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
white,,0,3,3,1,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
cyan,,0,4,4,6,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
gray,,0,5,5,5,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
green,,0,6,6,4,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
orange,,0,7,7,2,,,,,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,square,,,,,0,0,0,1,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,diamond,,,,,0,1,1,5,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,triangle,,,,,0,2,2,0,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,invertedTriangle,,,,,0,3,3,3,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,cross,,,,,0,4,4,6,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,circle,,,,,0,5,5,7,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,hexagon,,,,,0,6,6,4,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,line,,,,,0,7,7,2,,,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
,,,,,,,,,,space,0.416136980057,LearningTask,,,60.0405967551,3,2015_Mar_04_1159,797,
