Shape,Color,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
invertedTriangle,gray,0,0,0,3,0,0,0,5,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,orange,0,0,0,3,0,1,1,2,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,yellow,0,0,0,3,0,2,2,0,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,blue,0,0,0,3,0,3,3,7,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,green,0,0,0,3,0,4,4,4,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,white,0,0,0,3,0,5,5,1,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,magenta,0,0,0,3,0,6,6,3,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,cyan,0,0,0,3,0,7,7,6,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
invertedTriangle,,0,0,0,3,,,,,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,cyan,0,1,1,1,0,0,0,6,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,yellow,0,1,1,1,0,1,1,0,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,blue,0,1,1,1,0,2,2,7,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,green,0,1,1,1,0,3,3,4,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,magenta,0,1,1,1,0,4,4,3,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,gray,0,1,1,1,0,5,5,5,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
square,orange,0,1,1,1,0,6,6,2,,,LearningTask,,,60.1644432969,3,2015_Mar_04_1158,798,
