Color,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,ok1.keys,ok1.rt,expName,gender (m/f),age,frameRate,session,date,participant,
cyan,0,0,0,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,0,1,1,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,0,2,2,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,0,3,3,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,0,4,4,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,0,5,5,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,0,6,6,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,0,7,7,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,1,0,8,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,1,1,9,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,1,2,10,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,1,3,11,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,1,4,12,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,1,5,13,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,1,6,14,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,1,7,15,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,2,0,16,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,2,1,17,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,2,2,18,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,2,3,19,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,2,4,20,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,2,5,21,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,2,6,22,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,2,7,23,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,3,0,24,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,3,1,25,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,3,2,26,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,3,3,27,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,3,4,28,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,3,5,29,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,3,6,30,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,3,7,31,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,4,0,32,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,4,1,33,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,4,2,34,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,4,3,35,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,4,4,36,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,4,5,37,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,4,6,38,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,4,7,39,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,5,0,40,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,5,1,41,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,5,2,42,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,5,3,43,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,5,4,44,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,5,5,45,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,5,6,46,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,5,7,47,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,6,0,48,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,6,1,49,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,6,2,50,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,6,3,51,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,6,4,52,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,6,5,53,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,6,6,54,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,6,7,55,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
white,7,0,56,1,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
cyan,7,1,57,6,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
gray,7,2,58,5,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
blue,7,3,59,7,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
orange,7,4,60,2,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
magenta,7,5,61,3,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
yellow,7,6,62,0,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
green,7,7,63,4,,,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
,,,,,space,1.31943011284,LearningTask,,,59.7499629617,3,2015_Mar_04_1153,800,
