Color,xPos,location,ShapeStimulus,Shape,yPos,corrAns,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
magenta,,,,,,,0,0,0,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
yellow,,,,,,,0,1,1,0,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
cyan,,,,,,,0,2,2,6,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
blue,,,,,,,0,3,3,7,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
green,,,,,,,0,4,4,4,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,0,5,5,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
orange,,,,,,,0,6,6,2,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
gray,,,,,,,0,7,7,5,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
blue,,,,,,,1,0,8,7,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,1,1,9,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
green,,,,,,,1,2,10,4,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
cyan,,,,,,,1,3,11,6,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
yellow,,,,,,,1,4,12,0,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
gray,,,,,,,1,5,13,5,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
orange,,,,,,,1,6,14,2,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
magenta,,,,,,,1,7,15,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
blue,,,,,,,2,0,16,7,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
yellow,,,,,,,2,1,17,0,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
gray,,,,,,,2,2,18,5,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,2,3,19,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
orange,,,,,,,2,4,20,2,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
cyan,,,,,,,2,5,21,6,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
green,,,,,,,2,6,22,4,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
magenta,,,,,,,2,7,23,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
magenta,,,,,,,3,0,24,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
gray,,,,,,,3,1,25,5,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
yellow,,,,,,,3,2,26,0,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,3,3,27,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
cyan,,,,,,,3,4,28,6,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
orange,,,,,,,3,5,29,2,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
blue,,,,,,,3,6,30,7,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
green,,,,,,,3,7,31,4,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
orange,,,,,,,4,0,32,2,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
blue,,,,,,,4,1,33,7,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
gray,,,,,,,4,2,34,5,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
green,,,,,,,4,3,35,4,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
cyan,,,,,,,4,4,36,6,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
magenta,,,,,,,4,5,37,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
yellow,,,,,,,4,6,38,0,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,4,7,39,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
magenta,,,,,,,5,0,40,3,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
white,,,,,,,5,1,41,1,,,,,,,,,,LearningTask,,,60.043089318,3,2015_Mar_04_1151,990,
