xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Blocks.thisTrial,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,key_resp_3.keys,key_resp_3.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,523.062291861,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,s,-200,,,,0,0,0,6,0,0,0,0,None,,,,,,,,,,,,s,1,0.46787405014,0.500097990036,0.0744249820709,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,s,-200,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,1,1,8,0,0,0,0,None,,,,,,,,,,,,w,1,0.434154987335,0.516026973724,0.000893115997314,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,q,200,,,,0,2,2,5,0,0,0,0,None,,,,,,,,,,,,q,1,0.367846012115,0.514609098434,0.000879049301147,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,q,200,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,3,3,4,0,0,0,0,None,,,,,,,,,,,,w,1,0.467498064041,0.506701946259,0.000910043716431,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,q,200,,,,0,4,4,9,0,0,0,0,None,,,,,,,,,,,,q,1,0.451287031174,0.501672029495,0.000882863998413,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,q,200,,,,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,5,5,0,0,0,0,0,None,,,,,,,,,,,,w,1,0.450601100922,0.511567115784,0.000884056091309,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
200,w,200,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,a,-200,,,,0,6,6,7,0,0,0,0,None,,,,,,,,,,,,a,1,0.417724132538,0.502861022949,0.000899076461792,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.7115149168,3,2015_May_26_1048,997,
