pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,ok1.keys,ok1.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,,,,,,space,54.7002050877,,,,,,,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.838700056076,,,,,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,,,,,,,,,space,0.801383018494,,,,,,,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.75181913376,,,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,y,2.21937799454,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,t,1.65243387222,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,y,3.30328893661,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,y,1.38549995422,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,u,1.46858596802,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,y,1.41856312752,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,u,3.07002997398,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,u,2.63704204559,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,t,1.60186505318,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,o,3.62112784386,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,i,0.734982967377,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,y,2.01918292046,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,12,0,12,0,,,,,,,i,2.86912894249,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,13,0,13,0,,,,,,,r,1.66896295547,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,14,0,14,0,,,,,,,o,2.61983513832,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,15,0,15,0,,,,,,,u,1.40199899673,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
,,,,,,,,,,,,,,,,0,0,0,0,16,0,16,0,,,,,,,i,0.734611988068,,,LearningTask,,,59.890993156,2,2015_May_27_1204,997,
