xPos,corrAns,yPos,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,corrGoResp,yPosGoStim,xPosGoStim,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,0.783801794052,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,a,-200,0,0,0,3,0,0,0,0,None,,,,,,,,,,a,1,0.350358963013,0.5,0.00425696372986,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,a,-200,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,1,1,5,0,0,0,0,None,,,,,,,,,,q,1,0.417173147202,0.508833169937,0.00099515914917,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,a,-200,0,2,2,7,0,0,0,0,None,,,,,,,,,,a,1,0.483951091766,0.514636993408,0.00163602828979,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,a,-200,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,s,-200,0,3,3,6,0,0,0,0,None,,,,,,,,,,s,1,0.467535972595,0.509177923203,0.000905990600586,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,s,-200,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,4,4,1,0,0,0,0,None,,,,,,,,,,q,1,0.417533159256,0.500850915909,0.000895977020264,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,5,5,8,0,0,0,0,None,,,,,,,,,,w,1,0.467432975769,0.510632038116,0.00156617164612,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,6,6,0,0,0,0,0,None,,,,,,,,,,w,1,0.401123046875,0.503017902374,0.000915050506592,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,s,-200,0,7,7,2,0,0,0,0,None,,,,,,,,,,s,1,0.334059000015,0.512932062149,0.000943899154663,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,s,-200,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,8,8,9,0,0,0,0,None,,,,,,,,,,q,1,0.384443998337,0.51380109787,0.000927925109863,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
-200,q,200,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,9,9,4,0,0,0,0,None,,,,,,,,,,w,1,0.367496967316,0.511562824249,0.00152182579041,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
200,w,200,0,9,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,59.9509164221,3,2015_Apr_24_1137,998,
