xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,learningStimOnset,learningFixOnset,beginningSSD,trialType,goStim,goResp.keys,goResp.corr,goResp.rt,goTrailCountOutput,goCumRTOutput,goRTCountOutput,stopTrialCountOutput,stopSuccessCountOutput,omissionCountOutput,commissionCountOutput,fixStopOnset,goStimOnset,stopSignalOnset,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,,,,,,,,,,space,2.24440813065,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
200,w,200,,,,0,0,0,4,0,0,0,0,None,,,,,,,w,1,0.384706020355,0.500866174698,0.111088037491,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
200,w,200,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
-200,a,-200,,,,0,1,1,7,0,0,0,0,None,,,,,,,a,1,0.385313034058,0.511638879776,0.00189280509949,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
-200,a,-200,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
-200,a,-200,,,,0,2,2,3,0,0,0,0,None,,,,,,,a,1,0.41855597496,0.504014968872,0.00154685974121,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
-200,a,-200,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
200,w,200,,,,0,3,3,8,0,0,0,0,None,,,,,,,w,1,0.384695053101,0.51176905632,0.000952005386353,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
200,w,200,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
-200,q,200,,,,0,4,4,1,0,0,0,0,None,,,,,,,q,1,0.401110887527,0.503956079483,0.00151300430298,,,,,,,,,,,,,,,,,LearningTask,,,60.1352012032,3,2015_May_06_2049,9999,
