0.1886 	WARNING 	Movie2 stim could not be imported and won't be available
1.6710 	WARNING 	pygame audio lib was requested but not loaded: No module named pygame
4.2612 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2560, 1440]. Using actual size
4.8619 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x11b288c20>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.8619 	EXP 	window1: recordFrameIntervals = False
5.0281 	EXP 	window1: recordFrameIntervals = True
5.2117 	EXP 	window1: recordFrameIntervals = False
5.2119 	EXP 	window1: recordFrameIntervals = False
5.2283 	EXP 	window1: recordFrameIntervals = False
39.0704 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2560, 1440]. Using actual size
39.5889 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x11e768f38>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
39.5889 	EXP 	window1: recordFrameIntervals = False
39.7552 	EXP 	window1: recordFrameIntervals = True
39.9388 	EXP 	window1: recordFrameIntervals = False
39.9389 	EXP 	window1: recordFrameIntervals = False
39.9554 	EXP 	window1: recordFrameIntervals = False
