xPos,location,ShapeStimulus,Shape,yPos,corrAns,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,expName,gender (m/f),age,frameRate,session,date,participant,
,,,,,,,,,,space,0.77445602417,,,,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,up_right,crossorange.gif,Square,200,y,0,0,0,2,,,y,1,0.450172901154,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,down_right,diamondmagenta.gif,Circle,-200,h,0,1,1,11,,,h,1,0.467154026031,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,down_right,diamondwhite.gif,Square,-200,h,0,2,2,10,,,h,1,0.483770132065,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,down_left,hexagongray.gif,Circle,-200,g,0,3,3,15,,,g,1,0.517874002457,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,down_right,diamondgray.gif,Line,-200,h,0,4,4,8,,,h,1,0.50039100647,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,up_left,circlegreen.gif,Line,200,t,0,5,5,4,,,t,1,0.450391054153,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,down_left,hexagonmagenta.gif,Triangle,-200,g,0,6,6,13,,,g,1,0.450574159622,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,down_left,hexagonyellow.gif,Line,-200,g,0,7,7,12,,,g,1,0.767810106277,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,down_right,diamondorange.gif,Triangle,-200,h,0,8,8,9,,,h,1,0.517271995544,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,up_left,circlewhite.gif,Square,200,t,0,9,9,6,,,t,1,0.484121084213,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
-200,up_left,circlemagenta.gif,Triangle,200,t,0,10,10,5,,,t,1,0.567617893219,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
200,up_right,crosscyan.gif,Line,200,y,0,11,11,0,,,y,1,0.401038169861,LearningTask,,,60.0571890862,3,2014_Dec_16_0941,,
