StopOrGo,Amount,Shape,Color,StopOrGoAndAmountLoop.thisRepN,StopOrGoAndAmountLoop.thisTrialN,StopOrGoAndAmountLoop.thisN,StopOrGoAndAmountLoop.thisIndex,ShapeLoop.thisRepN,ShapeLoop.thisTrialN,ShapeLoop.thisN,ShapeLoop.thisIndex,ColorLoop.thisRepN,ColorLoop.thisTrialN,ColorLoop.thisN,ColorLoop.thisIndex,expName,gender (m/f),age,frameRate,session,date,participant,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,0,0,0,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,orange,0,0,0,5,0,0,0,3,0,1,1,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,0,2,2,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,magenta,0,0,0,5,0,0,0,3,0,3,3,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,0,4,4,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,0,5,5,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,yellow,0,0,0,5,0,0,0,3,0,6,6,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,0,7,7,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,orange,0,0,0,5,0,0,0,3,1,0,8,2,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,1,1,9,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,green,0,0,0,5,0,0,0,3,1,2,10,4,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,yellow,0,0,0,5,0,0,0,3,1,3,11,0,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,blue,0,0,0,5,0,0,0,3,1,4,12,7,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,cyan,0,0,0,5,0,0,0,3,1,5,13,6,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,magenta,0,0,0,5,0,0,0,3,1,6,14,3,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,1,7,15,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,gray,0,0,0,5,0,0,0,3,2,0,16,5,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
Go,2,invertedTriangle,white,0,0,0,5,0,0,0,3,2,1,17,1,LearningTask,,,60.0839452551,3,2015_Mar_03_1245,,
